organization	image_path	label_rank	class_label	confidence_score
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	1	street sign	0.7668145895004272
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	2	traffic light, traffic signal, stoplight	0.06394050270318985
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	3	cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM	0.02572745829820633
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	4	tobacco shop, tobacconist shop, tobacconist	0.016515173017978668
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	5	mailbox, letter box	0.010574877262115479
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	6	digital clock	0.006355321500450373
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	7	pay-phone, pay-station	0.005857181269675493
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	8	vending machine	0.00402093306183815
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	9	gas pump, gasoline pump, petrol pump, island dispenser	0.003934172447770834
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/production-of-renewable-diesel-synsat-project-preem_page5_img0.png	10	scoreboard	0.003860942553728819
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/towards-a-climate-neutral-value-chain_page3_img0.png	1	drilling platform, offshore rig	0.29904037714004517
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/towards-a-climate-neutral-value-chain_page3_img0.png	2	barrel, cask	0.07715023308992386
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/towards-a-climate-neutral-value-chain_page3_img0.png	3	crane	0.05627264454960823
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/towards-a-climate-neutral-value-chain_page3_img0.png	4	water tower	0.05619373172521591
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/towards-a-climate-neutral-value-chain_page3_img0.png	5	pier	0.015297649428248405
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/towards-a-climate-neutral-value-chain_page3_img0.png	6	hook, claw	0.014568984508514404
cv-org1-preem	/content/osm-cca-nlp/res/pdf/preem/towards-a-climate-neutral-value-chain_page3_img0.png	7	pole	0.014394753612577915
